network,delay_category,n,pct
subway,crowding,55818,66.12566933611335
subway,operational,14466,17.1373738331043
subway,mechanical,13452,15.936122826138464
subway,weather,676,0.8008340046438895
streetcar,operational,14565,40.037935015668815
streetcar,crowding,11126,30.584419154434002
streetcar,weather,2850,7.834405409863105
streetcar,mechanical,7837,21.54324042003409
bus,operational,58592,38.318967208611824
bus,crowding,22569,14.760048657345035
bus,weather,8006,5.235896563902005
bus,mechanical,63739,41.685087570141135
