yr,mo,network,avg_temp,total_snow_cm_days,total_delays,year_month
2023,1,subway,-0.87419,95.0,1738.0,2023-01
2023,1,streetcar,-0.87419,95.0,1077.0,2023-01
2023,1,bus,-0.87419,95.0,3840.0,2023-01
2023,2,subway,-1.40357,167.0,1904.0,2023-02
2023,2,streetcar,-1.40357,167.0,1068.0,2023-02
2023,2,bus,-1.40357,167.0,4173.0,2023-02
2023,3,subway,0.87419,185.0,2105.0,2023-03
2023,3,streetcar,0.87419,185.0,1194.0,2023-03
2023,3,bus,0.87419,185.0,4219.0,2023-03
2023,11,subway,3.93,0.1,2017.0,2023-11
2023,11,streetcar,3.93,0.1,1429.0,2023-11
2023,11,bus,3.93,0.1,5300.0,2023-11
2023,12,subway,2.71935,3.0,2067.0,2023-12
2023,12,streetcar,2.71935,3.0,1570.0,2023-12
2023,12,bus,2.71935,3.0,5281.0,2023-12
2024,1,subway,-2.10968,57.0,2259.0,2024-01
2024,1,streetcar,-2.10968,57.0,1349.0,2024-01
2024,1,bus,-2.10968,57.0,4749.0,2024-01
2024,2,subway,0.15862,18.0,2102.0,2024-02
2024,2,streetcar,0.15862,18.0,1248.0,2024-02
2024,2,bus,0.15862,18.0,4185.0,2024-02
2024,3,subway,3.69032,17.0,2216.0,2024-03
2024,3,streetcar,3.69032,17.0,1256.0,2024-03
2024,3,bus,3.69032,17.0,4790.0,2024-03
2024,4,subway,8.51,0.1,2247.0,2024-04
2024,4,streetcar,8.51,0.1,1230.0,2024-04
2024,4,bus,8.51,0.1,4969.0,2024-04
2024,12,subway,-0.6129,45.0,2339.0,2024-12
2024,12,streetcar,-0.6129,45.0,1097.0,2024-12
2024,12,bus,-0.6129,45.0,5024.0,2024-12
2025,1,subway,-5.42581,59.0,2106.0,2025-01
2025,1,streetcar,-5.42581,59.0,1037.0,2025-01
2025,1,bus,-5.42581,59.0,3908.0,2025-01
2025,2,subway,-4.98214,670.0,2274.0,2025-02
2025,2,streetcar,-4.98214,670.0,1920.0,2025-02
2025,2,bus,-4.98214,670.0,5583.0,2025-02
2025,3,subway,2.3,59.0,1986.0,2025-03
2025,3,streetcar,2.3,59.0,1120.0,2025-03
2025,3,bus,2.3,59.0,4703.0,2025-03
2025,4,subway,7.34667,3.0,2117.0,2025-04
2025,4,streetcar,7.34667,3.0,1170.0,2025-04
2025,4,bus,7.34667,3.0,4764.0,2025-04
2025,11,subway,3.54,22.0,2215.0,2025-11
2025,11,streetcar,3.54,22.0,1122.0,2025-11
2025,11,bus,3.54,22.0,5630.0,2025-11
2025,12,subway,-3.45806,85.0,2242.0,2025-12
2025,12,streetcar,-3.45806,85.0,1191.0,2025-12
2025,12,bus,-3.45806,85.0,5783.0,2025-12
2026,1,subway,-6.52903,438.0,2481.0,2026-01
2026,1,streetcar,-6.52903,438.0,1366.0,2026-01
2026,1,bus,-6.52903,438.0,6008.0,2026-01
2026,2,subway,-5.23571,695.0,2048.0,2026-02
2026,2,streetcar,-5.23571,695.0,1109.0,2026-02
2026,2,bus,-5.23571,695.0,4824.0,2026-02
2026,3,subway,1.92258,19.0,2400.0,2026-03
2026,3,streetcar,1.92258,19.0,1229.0,2026-03
2026,3,bus,1.92258,19.0,5319.0,2026-03
2026,4,subway,7.92333,0.1,2719.0,2026-04
2026,4,streetcar,7.92333,0.1,1296.0,2026-04
2026,4,bus,7.92333,0.1,4965.0,2026-04
