date,network,delay_category,is_weekend,is_rush_hour,count
2023-01-01,bus,crowding,True,False,15
2023-01-01,bus,mechanical,True,False,41
2023-01-01,bus,operational,True,False,38
2023-01-01,bus,weather,True,False,7
2023-01-01,streetcar,crowding,True,False,11
2023-01-01,streetcar,mechanical,True,False,3
2023-01-01,streetcar,operational,True,False,16
2023-01-01,streetcar,uncategorized,True,False,3
2023-01-01,streetcar,weather,True,False,8
2023-01-01,subway,crowding,True,False,23
2023-01-01,subway,mechanical,True,False,5
2023-01-01,subway,operational,True,False,15
2023-01-01,subway,uncategorized,True,False,2
2023-01-02,bus,crowding,False,False,9
2023-01-02,bus,crowding,False,True,4
2023-01-02,bus,mechanical,False,False,23
2023-01-02,bus,mechanical,False,True,7
2023-01-02,bus,operational,False,False,19
2023-01-02,bus,operational,False,True,2
2023-01-02,bus,uncategorized,False,False,2
2023-01-02,bus,weather,False,False,3
2023-01-02,bus,weather,False,True,1
2023-01-02,streetcar,crowding,False,False,5
2023-01-02,streetcar,crowding,False,True,1
2023-01-02,streetcar,mechanical,False,False,2
2023-01-02,streetcar,operational,False,False,10
2023-01-02,streetcar,uncategorized,False,False,6
2023-01-02,streetcar,weather,False,False,3
2023-01-02,subway,crowding,False,False,28
2023-01-02,subway,crowding,False,True,3
2023-01-02,subway,mechanical,False,False,3
2023-01-02,subway,mechanical,False,True,1
2023-01-02,subway,operational,False,False,6
2023-01-02,subway,operational,False,True,1
2023-01-02,subway,uncategorized,False,False,3
2023-01-03,bus,crowding,False,False,13
2023-01-03,bus,crowding,False,True,1
2023-01-03,bus,mechanical,False,False,40
2023-01-03,bus,mechanical,False,True,11
2023-01-03,bus,operational,False,False,27
2023-01-03,bus,operational,False,True,6
2023-01-03,bus,uncategorized,False,False,4
2023-01-03,bus,uncategorized,False,True,1
2023-01-03,bus,weather,False,False,6
2023-01-03,bus,weather,False,True,1
2023-01-03,streetcar,crowding,False,False,6
2023-01-03,streetcar,crowding,False,True,2
2023-01-03,streetcar,operational,False,False,11
2023-01-03,streetcar,operational,False,True,2
2023-01-03,streetcar,uncategorized,False,False,2
2023-01-03,streetcar,uncategorized,False,True,2
2023-01-03,streetcar,weather,False,True,1
2023-01-03,subway,crowding,False,False,21
2023-01-03,subway,crowding,False,True,4
2023-01-03,subway,mechanical,False,False,9
2023-01-03,subway,mechanical,False,True,2
2023-01-03,subway,operational,False,False,7
2023-01-03,subway,operational,False,True,1
2023-01-03,subway,uncategorized,False,False,3
2023-01-04,bus,crowding,False,False,9
2023-01-04,bus,crowding,False,True,2
2023-01-04,bus,mechanical,False,False,64
2023-01-04,bus,mechanical,False,True,17
2023-01-04,bus,operational,False,False,46
2023-01-04,bus,operational,False,True,8
2023-01-04,bus,uncategorized,False,False,6
2023-01-04,bus,uncategorized,False,True,1
2023-01-04,bus,weather,False,False,4
2023-01-04,streetcar,crowding,False,False,2
2023-01-04,streetcar,crowding,False,True,1
2023-01-04,streetcar,mechanical,False,False,5
2023-01-04,streetcar,mechanical,False,True,2
2023-01-04,streetcar,operational,False,False,16
2023-01-04,streetcar,operational,False,True,3
2023-01-04,streetcar,uncategorized,False,False,4
2023-01-04,streetcar,uncategorized,False,True,1
2023-01-04,streetcar,weather,False,False,5
2023-01-04,streetcar,weather,False,True,1
2023-01-04,subway,crowding,False,False,38
2023-01-04,subway,crowding,False,True,8
2023-01-04,subway,mechanical,False,False,4
2023-01-04,subway,mechanical,False,True,2
2023-01-04,subway,operational,False,False,4
2023-01-04,subway,operational,False,True,4
2023-01-04,subway,uncategorized,False,False,6
2023-01-05,bus,crowding,False,False,21
2023-01-05,bus,crowding,False,True,3
2023-01-05,bus,mechanical,False,False,45
2023-01-05,bus,mechanical,False,True,4
2023-01-05,bus,operational,False,False,30
2023-01-05,bus,operational,False,True,10
2023-01-05,bus,uncategorized,False,False,7
2023-01-05,bus,weather,False,False,4
2023-01-05,streetcar,crowding,False,False,2
2023-01-05,streetcar,mechanical,False,False,3
2023-01-05,streetcar,operational,False,False,12
2023-01-05,streetcar,operational,False,True,2
